UniqID,Lat,Lon,SiteName,LabCode,Age,Error,Material,Reference,LEVEL2,L2Desc,calcurve
400018,-26.2,-48.8,Sambaqui Ponta das Palmas,Cen-1135,600,80,Bone collagen (assuming it was human),Bandeira et al. (2010),21.4,Atlantic Forests,tropics
400019,-26.4,-48.6,Sambaqui Rio Pinheiros II,Beta-443872,860,30,Charcoal,Almeida 2017,21.4,Atlantic Forests,tropics
400022,-27.67,-48.57,Tapera (SC00335),Beta-384034,1150,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400023,-27.67,-48.57,Tapera (SC00335),Beta-384035,1220,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400024,-27.67,-48.57,Tapera (SC00335),Beta-384036,1330,30,Charcoal,Oppitz 2015,21.4,Atlantic Forests,tropics
400027,-28.7,-49.1,Arroio da Cruz I,Beta-211732,1160,40,Charcoal,"DeBlasis, Farias, and Kneip 2014",21.4,Atlantic Forests,tropics
400028,-23.5,-45.1,Tenorio,I-5306,1875,90,Charcoal,Garcia 1972,21.4,Atlantic Forests,tropics
400036,-26.4,-48.7,Areias Pequenas,Beta-443867,780,30,Human collagen,Almeida 2017,21.4,Atlantic Forests,tropics
400037,-27.8,-48.5,Armacao do Sul,Beta-384015,1430,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400038,-27.8,-48.5,Armacao do Sul,Beta-384002,1550,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400039,-27.8,-48.5,Armacao do Sul,Beta-384004,1580,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400040,-27.8,-48.5,Armacao do Sul,Beta-384011,1660,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400041,-27.8,-48.5,Armacao do Sul,Beta-384010,2180,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400042,-27.8,-48.5,Armacao do Sul,Beta-384029,2190,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400043,-27.8,-48.5,Armacao do Sul,Beta-384031,2190,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400044,-27.8,-48.5,Armacao do Sul,Beta-384003,2270,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400045,-27.8,-48.5,Armacao do Sul,Beta-384008,2290,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400046,-27.8,-48.5,Armacao do Sul,Beta-384009,2330,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
400047,-27.8,-48.5,Armacao do Sul,Beta-384006,2360,30,Human collagen,Oppitz 2015,21.4,Atlantic Forests,tropics
